trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,20,35
1,Tree Map,50,45
1,Donut Chart,80,82
1,Donut Chart,78,72
1,Donut Chart,78,94
1,Donut Chart,35,35
1,Tree Map,88,94
1,Stack Chart,60,72
1,Tree Map,78,71
1,Tree Map,80,65
1,Donut Chart,90,95
1,Stack Chart,50,54
1,Bubble Chart,50,37
1,Bubble Chart,48,38
1,Bubble Chart,60,66
1,Stack Chart,35,48
1,Bubble Chart,40,55
1,Stack Chart,50,47
1,Donut Chart,47,39
1,Tree Map,40,30
2,Stack Chart,85,95
2,Stack Chart,40,33
2,Donut Chart,89,85
2,Bubble Chart,90,93
2,Stack Chart,90,100
2,Tree Map,60,75
2,Stack Chart,60,72
2,Stack Chart,20,37
2,Tree Map,40,57
2,Donut Chart,40,48
2,Tree Map,50,88
2,Bubble Chart,40,33
2,Tree Map,89,95
2,Tree Map,60,69
2,Tree Map,70,74
2,Stack Chart,25,27
2,Stack Chart,80,95
2,Stack Chart,80,93
2,Donut Chart,70,67
2,Stack Chart,32,32
3,Stack Chart,80,60
3,Stack Chart,64,62
3,Bubble Chart,70,67
3,Tree Map,60,68
3,Stack Chart,35,50
3,Stack Chart,85,95
3,Tree Map,90,97
3,Stack Chart,66,58
3,Donut Chart,88,98
3,Tree Map,50,43
3,Stack Chart,100,91
3,Donut Chart,100,97
3,Stack Chart,80,93
3,Donut Chart,47,42
3,Stack Chart,27,34
3,Tree Map,60,46
3,Stack Chart,60,70
3,Donut Chart,85,93
3,Tree Map,15,27
3,Tree Map,60,76
4,Bubble Chart,78,89
4,Stack Chart,25,33
4,Tree Map,78,77
4,Tree Map,20,22
4,Stack Chart,40,50
4,Bubble Chart,60,64
4,Stack Chart,34,32
4,Tree Map,70,62
4,Tree Map,90,87
4,Bubble Chart,56,62
4,Tree Map,80,68
4,Donut Chart,70,77
4,Donut Chart,97,81
4,Tree Map,60,72
4,Donut Chart,90,78
4,Donut Chart,50,48
4,Stack Chart,90,82
4,Donut Chart,78,87
4,Stack Chart,70,82
4,Stack Chart,60,77
5,Donut Chart,70,68
5,Donut Chart,75,81
5,Stack Chart,60,67
5,Tree Map,80,77
5,Tree Map,17,33
5,Stack Chart,20,31
5,Bubble Chart,68,75
5,Stack Chart,78,71
5,Bubble Chart,50,50
5,Stack Chart,57,58
5,Tree Map,60,75
5,Stack Chart,90,79
5,Donut Chart,80,72
5,Bubble Chart,50,61
5,Donut Chart,30,26
5,Donut Chart,70,60
5,Donut Chart,100,90
5,Stack Chart,50,57
5,Bubble Chart,65,60
5,Donut Chart,50,38
