line,x,y,Color
0,86.8088362,35.10605505,#788e0b
1,2.452365556,55.44098511,#788e0b
2,85.52426062,42.13719348,#788e0b
3,21.03366549,72.43631956,#788e0b
4,52.04667875,80.43001903,#788e0b
5,58.26165021,84.85156817,#788e0b
6,54.04787578,59.60016624,#788e0b
7,31.06630487,41.00908713,#788e0b
8,78.97123628,46.86777658,#788e0b
9,74.65452645,44.01360174,#ff0000
10,72.55830538,77.56933478,#788e0b
11,71.65514865,99.92363735,#788e0b
12,87.41638118,74.70705058,#788e0b
13,26.30295949,54.0386684,#788e0b
14,63.30816673,4.338848283,#788e0b
15,78.74594042,15.46525602,#788e0b
16,55.92219304,45.35160092,#788e0b
17,26.95010122,27.74209927,#788e0b
18,95.86716419,67.02026822,#788e0b
19,36.50465667,58.46494229,#788e0b
20,15.39795711,86.83829007,#788e0b
21,74.94150248,67.56474113,#788e0b
22,99.43709017,64.35665502,#788e0b
23,4.073385892,17.46656701,#788e0b
24,77.41647686,78.79751335,#788e0b
25,47.14881362,80.55988224,#788e0b
26,94.30842881,45.62046388,#788e0b
27,9.724455713,66.26519225,#788e0b
28,43.07652393,34.67745557,#788e0b
29,28.35878035,59.19616189,#788e0b
30,17.1330711,26.67995569,#788e0b
31,96.81141795,32.24280937,#788e0b
32,27.71006419,31.18572063,#788e0b
33,53.65733994,21.8406463,#788e0b
34,59.01767783,64.59546786,#788e0b
35,61.11694195,59.59528037,#788e0b
36,83.79748087,63.8965436,#788e0b
37,47.60173873,31.35881008,#788e0b
38,91.34729435,23.7491978,#788e0b
39,21.51348886,82.72568386,#788e0b
40,43.01656092,21.14335629,#788e0b
41,11.0480396,15.45589426,#788e0b
42,8.139072943,13.84089044,#788e0b
43,38.26830098,44.50338496,#788e0b
44,62.70924472,36.48252551,#788e0b
45,55.29512005,30.85830578,#788e0b
46,39.13103184,12.78978244,#788e0b
47,61.1692652,53.52836232,#788e0b
48,50.79206743,29.66249768,#788e0b
49,36.69083488,29.83939657,#788e0b
50,68.29613296,77.67056242,#788e0b
51,35.03195287,79.34930863,#788e0b
52,27.98807039,40.94220565,#788e0b
53,27.18281673,18.11071721,#788e0b
54,93.86433911,6.985320272,#788e0b
55,42.99536196,76.44370929,#788e0b
56,97.90621793,0.732753986,#788e0b
57,42.9476375,15.46603984,#788e0b
58,92.34170044,52.22904587,#788e0b
59,64.58455441,87.91512871,#788e0b
60,38.29543073,54.56629689,#788e0b
61,19.72617916,90.12727765,#788e0b
62,38.84264945,82.15606215,#788e0b
63,66.28599666,8.136529625,#788e0b
64,63.34508621,45.46909576,#788e0b
65,30.07955677,68.99493721,#788e0b
66,52.70233335,88.28941094,#788e0b
67,30.5721344,87.43359509,#788e0b
68,64.23547894,74.87125759,#788e0b
69,78.19095248,54.52570625,#788e0b
70,46.4110179,51.67892487,#788e0b
71,63.3801677,15.39782795,#788e0b
72,32.91150849,17.41599209,#788e0b
73,73.23038604,20.44524964,#788e0b
74,23.94525183,85.65612877,#788e0b
75,11.38991804,36.51477809,#788e0b
76,95.45226142,18.53677487,#788e0b
77,31.73675254,92.42357926,#788e0b
78,4.671802577,66.64485671,#788e0b
79,67.45288373,41.48832299,#788e0b
80,70.97025204,65.57941525,#788e0b
81,28.85650304,50.83872084,#788e0b
82,17.47017909,62.98374751,#788e0b
83,84.09225376,82.90437428,#788e0b
84,33.63477393,99.52584757,#788e0b
85,16.53225887,55.77091358,#788e0b
86,78.06561793,11.47142751,#788e0b
87,14.33284408,47.46033329,#788e0b
88,43.71950584,12.52403173,#788e0b
89,96.18936366,37.57179565,#788e0b
90,23.21550123,69.31705735,#788e0b
91,91.76340793,79.39816638,#788e0b
92,86.49350968,11.11485465,#788e0b
93,48.10867466,69.8177522,#788e0b
94,75.52450464,56.85068716,#788e0b
95,20.57384636,31.11465963,#788e0b
96,41.87042102,87.84906392,#788e0b
97,26.84929544,93.59725592,#788e0b
98,68.71246494,62.08475577,#788e0b
99,10.67921457,99.24705099,#788e0b
