participantId,trialId,answer,startTime,endTime,duration,taskOrder,true_value,chart_type,accuracy
1OnSY9Gbo3pTQEhEeZYV,barChart3,42,"Mon, 11 Mar 2024 19:41:40 GMT","Mon, 11 Mar 2024 19:41:57 GMT",16995,8,43,barChart,0.1699
1OnSY9Gbo3pTQEhEeZYV,barChart6,70,"Mon, 11 Mar 2024 19:40:27 GMT","Mon, 11 Mar 2024 19:40:52 GMT",25239,3,75,barChart,2.3576
1OnSY9Gbo3pTQEhEeZYV,barChart7,52,"Mon, 11 Mar 2024 19:40:08 GMT","Mon, 11 Mar 2024 19:40:27 GMT",18731,2,50,barChart,1.0875
1OnSY9Gbo3pTQEhEeZYV,barChart8,56,"Mon, 11 Mar 2024 19:41:57 GMT","Mon, 11 Mar 2024 19:42:05 GMT",8110,9,60,barChart,2.0444
1OnSY9Gbo3pTQEhEeZYV,barChart11,80,"Mon, 11 Mar 2024 19:41:34 GMT","Mon, 11 Mar 2024 19:41:40 GMT",6555,7,78,barChart,1.0875
1OnSY9Gbo3pTQEhEeZYV,barChart12,70,"Mon, 11 Mar 2024 19:41:18 GMT","Mon, 11 Mar 2024 19:41:34 GMT",16147,6,71,barChart,0.1699
1OnSY9Gbo3pTQEhEeZYV,barChart15,65,"Mon, 11 Mar 2024 19:41:01 GMT","Mon, 11 Mar 2024 19:41:18 GMT",16252,5,56,barChart,3.1898
1OnSY9Gbo3pTQEhEeZYV,barChart16,58,"Mon, 11 Mar 2024 19:42:20 GMT","Mon, 11 Mar 2024 19:42:34 GMT",13322,11,60,barChart,1.0875
1OnSY9Gbo3pTQEhEeZYV,barChart18,33,"Mon, 11 Mar 2024 19:42:05 GMT","Mon, 11 Mar 2024 19:42:20 GMT",14908,10,33,barChart,-3.0000
1OnSY9Gbo3pTQEhEeZYV,barChart19,40,"Mon, 11 Mar 2024 19:40:52 GMT","Mon, 11 Mar 2024 19:41:01 GMT",9388,4,45,barChart,2.3576
1OnSY9Gbo3pTQEhEeZYV,bubbleChart3,32,"Mon, 11 Mar 2024 19:44:34 GMT","Mon, 11 Mar 2024 19:44:54 GMT",20102,18,43,bubbleChart,3.4757
1OnSY9Gbo3pTQEhEeZYV,bubbleChart4,25,"Mon, 11 Mar 2024 19:43:46 GMT","Mon, 11 Mar 2024 19:43:54 GMT",7929,15,28,bubbleChart,1.6439
1OnSY9Gbo3pTQEhEeZYV,bubbleChart5,50,"Mon, 11 Mar 2024 19:42:34 GMT","Mon, 11 Mar 2024 19:43:01 GMT",27132,12,80,bubbleChart,4.9129
1OnSY9Gbo3pTQEhEeZYV,bubbleChart6,53,"Mon, 11 Mar 2024 19:45:20 GMT","Mon, 11 Mar 2024 19:45:28 GMT",8400,20,75,bubbleChart,4.4676
1OnSY9Gbo3pTQEhEeZYV,bubbleChart8,45,"Mon, 11 Mar 2024 19:43:01 GMT","Mon, 11 Mar 2024 19:43:17 GMT",16572,13,60,bubbleChart,3.9189
1OnSY9Gbo3pTQEhEeZYV,bubbleChart9,31,"Mon, 11 Mar 2024 19:43:54 GMT","Mon, 11 Mar 2024 19:44:18 GMT",23469,16,40,bubbleChart,3.1898
