TrialNum,VisType,TruePercent,GuessPercent,Error,AdjError
1,voronoi,35,45,10,3.34
2,treemap,88,80,8,3.02
3,bar,36,30,6,2.61
4,bubble,54,70,16,4.01
5,bubble,54,80,26,4.71
6,voronoi,53,40,13,3.71
7,treemap,72,75,3,1.64
8,bar,26,30,4,2.04
9,treemap,87,90,3,1.64
10,bar,86,90,4,2.04
11,bubble,54,65,11,3.48
12,voronoi,6,5,1,0.17
13,voronoi,95,95,0,-3.0
14,bar,92,95,3,1.64
15,treemap,49,75,26,4.71
16,bubble,38,50,12,3.6
17,voronoi,88,90,2,1.09
18,bubble,7,15,8,3.02
19,treemap,3,5,2,1.09
20,bar,7,10,3,1.64
21,bubble,79,95,16,4.01
22,treemap,94,95,1,0.17
23,voronoi,68,85,17,4.1
24,bar,60,65,5,2.36
25,bar,63,60,3,1.64
26,voronoi,20,20,0,-3.0
27,bubble,11,20,9,3.19
28,treemap,68,95,27,4.76
29,bubble,72,95,23,4.53
30,voronoi,57,75,18,4.18
31,bar,70,65,5,2.36
32,treemap,30,25,5,2.36
33,voronoi,45,60,15,3.92
34,bar,26,30,4,2.04
35,bubble,27,25,2,1.09
36,treemap,58,75,17,4.1
37,treemap,51,55,4,2.04
38,voronoi,55,60,5,2.36
39,bubble,65,80,15,3.92
40,bar,24,30,6,2.61
41,voronoi,3,5,2,1.09
42,bubble,87,95,8,3.02
43,bar,45,55,10,3.34
44,treemap,83,95,12,3.6
45,treemap,85,80,5,2.36
46,bar,24,25,1,0.17
47,bubble,4,5,1,0.17
48,voronoi,5,5,0,-3.0
49,treemap,16,10,6,2.61
50,voronoi,64,85,21,4.4
51,bubble,91,90,1,0.17
52,bar,23,25,2,1.09
53,treemap,79,85,6,2.61
54,voronoi,90,75,15,3.92
55,bar,25,30,5,2.36
56,bubble,77,90,13,3.71
57,bubble,37,50,13,3.71
58,bar,78,80,2,1.09
59,voronoi,7,10,3,1.64
60,treemap,8,5,3,1.64
61,treemap,10,5,5,2.36
62,bubble,48,65,17,4.1
63,bar,60,65,5,2.36
64,voronoi,7,10,3,1.64
65,bubble,25,30,5,2.36
66,voronoi,91,90,1,0.17
67,bar,1,2,1,0.17
68,treemap,49,55,6,2.61
69,voronoi,67,85,18,4.18
70,bar,17,20,3,1.64
71,bubble,85,95,10,3.34
72,treemap,51,45,6,2.61
73,treemap,100,100,0,-3.0
74,bubble,69,95,26,4.71
75,bar,33,45,12,3.6
76,voronoi,10,5,5,2.36
77,treemap,85,85,0,-3.0
78,bar,77,85,8,3.02
79,bubble,42,75,33,5.05
80,voronoi,8,5,3,1.64
1,treemap,28,30,2,1.09
2,bar,23,25,2,1.09
3,voronoi,59,45,14,3.82
4,bubble,98,97,1,0.17
5,bubble,4,10,6,2.61
6,voronoi,75,80,5,2.36
